user,text,latitude,longitude
gabriii,"b'Visitando azamiga ?? (at @Hot_Hot_ in S?o Paulo, SP) https://t.co/ETZeOq5TYq'",-23.55140999,-46.64423192
tiagoooliveira,b'Almost finishing the course/subjects. Some adjusts in the #neuralnetwork #USP? https://t.co/QrmT9XJaqb',-23.55,-46.6333
Suuuiiii,"b'?????? em S?o Paulo, Brazil https://t.co/D0EDQ9XH5p'",-23.55,-46.6333
stefuriosa,b'Nossa honra vale mais do que o seu dinheiro sujo. | #badgirl #powergirl #powpowpow #followme? https://t.co/iXjzl9yd1i',-23.55,-46.6333
_porraasilva,b'?????? em Perdido Pelo Mundo https://t.co/GVYLUvFnYl',-23.55,-46.6333
TrendsSaoPaulo,"b""'lubyanka' e 'bem-vindo' ? tend?ncia em #S?oPaulo\n\nhttps://t.co/r7YKMotOUa https://t.co/abDzUlBw19""",-23.5489,-46.6388
willsong83,"b'Deus me deu mais, muito mais do que sonhei #3anos ?? em S?o Paulo, Brazil https://t.co/lQY3oNsH2S'",-23.55,-46.6333
ericobjork,b'No 1 ano de festahouseira no club.jerome ? Club Jerome https://t.co/WByOC1ljdz',-23.5504256,-46.6589945
mcdedee,"b'#chacoalhaNaAgua  #KondZilla #brotaaaaa  f?brica de hits ?? em S?o Paulo, Brazil https://t.co/XWOTab1SsM'",-23.55,-46.6333
williamfiebig,b'Chegamos para tomar um #CH? \n#ChaDeAlice \nVamos n?s esquecer para o #ChaRouge dia 25Nov? https://t.co/PuIlBSS9cU',-23.5580668,-46.63734913
drispaca,"b'Dona Teodora e Dona Mercedes. ???? em S?o Paulo, Brazil https://t.co/IyAAuTSljw'",-23.55,-46.6333
camillevacilona,"b'Olho essa foto e lembro das conversas de madrugada, das brigas di?rias?, de quando eu caia no? https://t.co/kEkM3ExWdq'",-23.55,-46.6333
marciusw,b'Japanese Protein.... #japanesefood #dinner #liberdade #saopaulo #brazil @ Itidai https://t.co/648KIXgpxn',-23.55784179,-46.63569794
ramonssilveira,"b""I'm at @Cine_Joia in S?o Paulo, SP w/ @ree_atwood @victoorsh @rodrigosy @alissonsallesf https://t.co/2ihyObRzA8""",-23.55350211,-46.63573071
pikachu_felipe,b'? em IMS Paulista https://t.co/Uacjox7JY8',-23.5561295,-46.6619797
TrendsSaoPaulo,"b'Gabriel Casonato, @gabriel_groma ? tend?ncia em #S?oPaulo\n\nhttps://t.co/iAVomDgEee https://t.co/nver2wVuAT'",-23.5489,-46.6388
Lordavalo,"b'Quem vamos ???? (@ Caf? Aurora - @cafeaurora in S?o Paulo, SP) https://t.co/nG3f26eVid'",-23.55405699,-46.6468583
srossetto,"b'Pode parecer um bowl lindo com ovos, ? primeira vista... mas ? meu? https://t.co/Mub7rcGFsW'",-23.55,-46.6333
Carosellation,"b'Pra viajar basta existir. E n?s... Viajamos muito al?m da terra, viajamos um no outro. ?? #SP? https://t.co/9vywDHB79I'",-23.55691005,-46.66186727
br_fioravanti,"b""I'm at Rua Augusta https://t.co/c3iIqwh5KU""",-23.55220944,-46.65125452
ree_atwood,"b""I'm at @Cine_Joia in S?o Paulo, SP w/ @alissonsallesf https://t.co/RygiIPFD7W""",-23.55350211,-46.63573071
RafinhaPete,"b'I will not be your first love, but I will be the best of your story! ??\n\n#INSTAFOLLOW #INSTAPIC? https://t.co/YNofHw6nKr'",-23.55,-46.6333
philricelle,"b'Parab?ns Lab! (at @LabClubSp in S?o Paulo, SP w/ @romani83) https://t.co/eM0HDxAagP'",-23.55168961,-46.65112254
betonevesmix,"b'O Brasil ? grande mas nossa vontade ? maior, Sennheiser Sound Academy Brasil. em S?o Paulo, Brazil https://t.co/p9FjcQipVj'",-23.55,-46.6333
Beeh_Crf1895,b'Gratid?o por todo amor que Deus me d? todos os dias. ? em The? https://t.co/kAqXjOoOVB',-23.5533,-46.65247
